,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2025-01-02,82.4,81.3,82.7,80.8,48562393,3960395424.0,2.31,-1.33,-1.1,0.25
1,2025-01-03,83.1,82.6,83.75,82.0,57859265,4781998592.0,2.15,1.6,1.3,0.3
2,2025-01-06,83.15,82.15,83.35,81.9,36259231,2984825776.0,1.76,-0.54,-0.45,0.19
3,2025-01-07,82.15,81.4,82.45,80.5,57807719,4701374464.0,2.37,-0.91,-0.75,0.3
4,2025-01-08,81.6,80.9,82.25,80.4,51033856,4139230368.0,2.27,-0.61,-0.5,0.27
5,2025-01-09,80.9,80.6,81.6,80.45,38857402,3144059264.0,1.42,-0.37,-0.3,0.2
6,2025-01-10,80.9,79.6,81.2,79.5,49178401,3939500960.0,2.11,-1.24,-1.0,0.26
7,2025-01-13,78.5,78.1,78.55,77.35,47082642,3675105328.0,1.51,-1.88,-1.5,0.25
8,2025-01-14,78.75,79.95,80.35,78.35,62238203,4940666624.0,2.56,2.37,1.85,0.33
9,2025-01-15,79.1,79.95,80.15,79.1,34729525,2766342000.0,1.31,0.0,0.0,0.18
10,2025-01-16,80.1,80.45,81.45,79.25,40303852,3238879264.0,2.75,0.63,0.5,0.21
11,2025-01-17,80.0,80.75,80.75,79.6,40613226,3261068528.0,1.43,0.37,0.3,0.21
12,2025-01-20,82.7,84.55,86.1,82.4,92760400,7854543104.0,4.58,4.71,3.8,0.49
13,2025-01-21,85.8,84.8,85.95,83.9,45376591,3852994880.0,2.42,0.3,0.25,0.24
14,2025-01-22,83.3,82.2,83.9,81.65,50020729,4123030432.0,2.65,-3.07,-2.6,0.26
15,2025-01-23,83.85,82.9,84.25,82.55,35695244,2969428736.0,2.07,0.85,0.7,0.19
16,2025-01-24,83.75,84.75,85.0,83.0,56000920,4724454912.0,2.41,2.23,1.85,0.29
17,2025-01-27,86.6,87.25,87.95,86.1,77324541,6751684352.0,2.18,2.95,2.5,0.41
18,2025-01-28,88.5,88.3,88.5,87.65,28186080,2486488816.0,0.97,1.2,1.05,0.15
19,2025-02-03,92.55,94.0,94.1,90.4,137951734,12779331072.0,4.19,6.46,5.7,0.72
20,2025-02-04,96.8,97.65,97.95,94.75,119029715,11520580352.0,3.4,3.88,3.65,0.63
21,2025-02-05,99.0,97.55,99.65,95.3,130268715,12660016384.0,4.45,-0.1,-0.1,0.69
22,2025-02-06,96.95,98.55,98.9,96.5,82663790,8088821248.0,2.46,1.03,1.0,0.43
23,2025-02-07,98.0,100.0,100.9,97.7,111035834,11068566016.0,3.25,1.47,1.45,0.58
24,2025-02-10,103.0,105.5,106.5,103.0,154940987,16237333760.0,3.5,5.5,5.5,0.82
25,2025-02-11,107.9,104.9,108.6,104.6,133001073,14110191360.0,3.79,-0.57,-0.6,0.7
26,2025-02-12,109.2,113.8,113.9,109.1,215324934,24162106112.0,4.58,8.48,8.9,1.13
27,2025-02-13,115.2,116.7,124.3,115.2,336902000,40055137024.0,8.0,2.55,2.9,1.77
28,2025-02-14,116.9,124.1,124.3,116.8,267121701,32288035584.0,6.43,6.34,7.4,1.41
29,2025-02-17,124.9,122.2,129.5,118.8,293596272,36437601792.0,8.62,-1.53,-1.9,1.54
30,2025-02-18,122.0,126.3,128.6,122.0,197776235,24916497408.0,5.4,3.36,4.1,1.04
31,2025-02-19,123.7,124.1,125.4,122.3,148288754,18407447296.0,2.45,-1.74,-2.2,0.78
32,2025-02-20,122.4,120.9,123.6,118.4,178330455,21563930368.0,4.19,-2.58,-3.2,0.94
33,2025-02-21,133.0,138.5,139.6,131.0,329402608,44457851392.0,7.11,14.56,17.6,1.73
34,2025-02-24,138.9,135.7,140.9,134.3,222538792,30616680192.0,4.77,-2.02,-2.8,1.17
35,2025-02-25,125.1,130.6,133.3,125.0,234415866,30430762240.0,6.12,-3.76,-5.1,1.23
36,2025-02-26,132.3,136.9,139.1,132.0,197155020,26983707392.0,5.44,4.82,6.3,1.04
37,2025-02-27,137.5,135.7,139.7,133.2,180178311,24571142400.0,4.75,-0.88,-1.2,0.95
38,2025-02-28,133.6,127.5,133.8,127.1,209019085,27079502336.0,4.94,-6.04,-8.2,1.1
39,2025-03-03,129.8,130.4,134.5,128.6,164140645,21565128192.0,4.63,2.27,2.9,0.86
40,2025-03-04,126.6,127.8,129.3,124.5,133778504,16999549696.0,3.68,-1.99,-2.6,0.7
41,2025-03-05,128.4,129.9,131.5,126.6,132295744,17122580224.0,3.83,1.64,2.1,0.7
42,2025-03-06,138.0,140.8,141.5,137.3,198863431,27717472512.0,3.23,8.39,10.9,1.05
43,2025-03-07,137.8,140.0,145.9,137.2,250700100,35296333312.0,6.18,-0.57,-0.8,1.32
44,2025-03-10,137.2,134.5,138.7,133.6,179071477,24435484672.0,3.64,-3.93,-5.5,0.94
45,2025-03-11,127.8,133.6,134.8,127.7,157697693,20807506432.0,5.28,-0.67,-0.9,0.83
46,2025-03-12,138.0,134.8,138.0,131.9,124456918,16836941056.0,4.57,0.9,1.2,0.65
47,2025-03-13,133.8,131.5,133.9,129.1,101846984,13383022336.0,3.56,-2.45,-3.3,0.54
48,2025-03-14,134.5,135.8,137.6,132.8,108673140,14720179968.0,3.65,3.27,4.3,0.57
49,2025-03-17,137.6,135.5,139.0,135.1,72542321,9927403776.0,2.87,-0.22,-0.3,0.38
50,2025-03-18,143.3,143.4,143.5,140.6,145909264,20795168768.0,2.14,5.83,7.9,0.77
51,2025-03-19,140.3,141.1,142.3,139.6,83578664,11795285248.0,1.88,-1.6,-2.3,0.44
52,2025-03-20,140.0,135.5,140.0,135.1,113971960,15628616448.0,3.47,-3.97,-5.6,0.6
53,2025-03-21,133.6,130.7,135.3,130.4,143069660,18866090240.0,3.62,-3.54,-4.8,0.75
54,2025-03-24,132.0,132.8,134.1,130.4,90778453,11965649152.0,2.83,1.61,2.1,0.48
55,2025-03-25,130.7,127.7,132.1,127.6,104041459,13408694784.0,3.39,-3.84,-5.1,0.55
56,2025-03-26,128.6,129.5,130.7,128.0,57480050,7426520832.0,2.11,1.41,1.8,0.3
57,2025-03-27,129.4,130.1,133.0,128.3,63397449,8292535552.0,3.63,0.46,0.6,0.33
58,2025-03-28,132.0,131.0,133.5,129.0,66594496,8745528320.0,3.46,0.69,0.9,0.35
59,2025-03-31,128.8,128.0,130.0,126.1,78698386,10062802944.0,2.98,-2.29,-3.0,0.41
60,2025-04-01,129.1,129.8,131.5,128.9,59194990,7698043648.0,2.03,1.41,1.8,0.31
61,2025-04-02,129.0,130.0,132.0,128.4,61236236,7968615168.0,2.77,0.15,0.2,0.32
62,2025-04-03,122.5,123.5,126.4,121.5,165415092,20482562304.0,3.77,-5.0,-6.5,0.87
63,2025-04-07,108.0,101.3,112.2,100.0,392361040,41586049792.0,9.88,-17.98,-22.2,2.05
64,2025-04-08,105.7,102.5,106.3,97.55,291748688,29853924096.0,8.64,1.18,1.2,1.53
65,2025-04-09,97.4,103.6,105.7,95.7,251724654,25366769664.0,9.76,1.07,1.1,1.32
66,2025-04-10,108.0,104.8,110.4,104.4,239469665,25574348800.0,5.79,1.16,1.2,1.25
67,2025-04-11,103.0,103.0,106.6,101.5,178687575,18536289280.0,4.87,-1.72,-1.8,0.93
68,2025-04-14,107.4,108.2,109.9,105.7,166612582,17996606976.0,4.08,5.05,5.2,0.87
69,2025-04-15,111.8,109.9,111.8,108.6,103926447,11443755008.0,2.96,1.57,1.7,0.54
70,2025-04-16,107.0,105.4,107.5,104.0,116440525,12271273984.0,3.18,-4.09,-4.5,0.61
71,2025-04-17,105.1,108.7,109.3,104.5,113941562,12282860800.0,4.55,3.13,3.3,0.6
72,2025-04-22,108.4,110.0,111.5,107.2,118989644,13051530752.0,3.96,1.2,1.3,0.62
73,2025-04-23,116.4,116.0,116.9,113.9,142919552,16484077056.0,2.73,5.45,6.0,0.75
74,2025-04-24,115.7,113.8,116.3,112.5,91662927,10454633728.0,3.28,-1.9,-2.2,0.48
75,2025-04-25,116.2,115.6,117.9,114.9,82127311,9561057024.0,2.64,1.58,1.8,0.43
76,2025-04-28,117.8,115.2,117.8,114.4,67368966,7795494656.0,2.94,-0.35,-0.4,0.35
77,2025-04-29,115.7,115.0,117.4,114.2,63943734,7385709568.0,2.78,-0.17,-0.2,0.33
78,2025-04-30,116.4,117.5,117.6,114.6,68302501,7968424192.0,2.61,2.17,2.5,0.36
79,2025-05-02,119.2,122.0,123.1,118.1,72747697,8836144128.0,4.26,3.83,4.5,0.38
80,2025-05-06,122.5,123.8,124.7,120.8,89828348,11054407680.0,3.2,1.48,1.8,0.47
81,2025-05-07,126.9,121.3,127.8,121.3,105915833,13093737984.0,5.25,-2.02,-2.5,0.55
82,2025-05-08,120.8,121.5,123.7,120.3,70065236,8556852224.0,2.8,0.16,0.2,0.37
83,2025-05-09,122.9,123.6,124.4,121.8,64212711,7908432384.0,2.14,1.73,2.1,0.34
84,2025-05-12,126.1,131.2,131.9,124.9,163626351,21025747968.0,5.66,6.15,7.6,0.86
85,2025-05-13,131.0,126.1,131.0,125.6,110675822,14127362048.0,4.12,-3.89,-5.1,0.58
86,2025-05-14,127.8,130.4,130.8,126.8,88967136,11457409280.0,3.17,3.41,4.3,0.47
87,2025-05-15,131.4,128.9,131.7,127.9,83762982,10849921536.0,2.91,-1.15,-1.5,0.44
88,2025-05-16,121.0,123.4,124.2,120.3,146404177,17936191232.0,3.03,-4.27,-5.5,0.77
89,2025-05-19,119.9,119.2,120.8,117.5,124103481,14770522112.0,2.67,-3.4,-4.2,0.65
90,2025-05-20,120.0,120.0,120.4,119.2,5533216,663378128.0,1.01,0.67,0.8,0.03
