Unnamed: 0,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,price_change,volume_change,divergence_signal
0,2025/3/3,52.9,50.95,53,49.55,466253104,23815670528,6.65,-1.74,-0.9,2.26,,,0
1,2025/3/4,49.05,50.55,51.6,48.65,338725808,16955649536,5.79,-0.79,-0.4,1.64,-0.007850834,-0.273515168,0
2,2025/3/5,52,54.2,54.2,51.3,337625488,17803650816,5.74,7.22,3.65,1.64,0.07220573689416421,-0.003248409,1
3,2025/3/6,55.3,54.9,56.3,53.85,375438240,20632772352,4.52,1.29,0.7,1.82,0.012915129151291449,0.11199614171309236,0
4,2025/3/7,54.6,54.35,55.5,53.1,355629248,19317654784,4.37,-1,-0.55,1.73,-0.010018215,-0.052762319,0
5,2025/3/10,54,52.85,54.5,52.35,223961425,11925078528,3.96,-2.76,-1.5,1.09,-0.027598896,-0.370239016,0
6,2025/3/11,50.85,53.9,54,50.7,223343033,11756897280,6.24,1.99,1.05,1.08,0.01986754966887405,-0.002761154,1
7,2025/3/12,53.85,52.05,54.7,51.5,241938609,12740686848,5.94,-3.43,-1.85,1.17,-0.03432282,0.08326015703386647,-1
8,2025/3/13,52.05,52.85,53.4,51.6,187000372,9805570560,3.46,1.54,0.8,0.91,0.015369836695485084,-0.227075113,1
9,2025/3/14,53,53.85,54.6,52.55,229901198,12355629824,3.88,1.89,1,1.12,0.018921475875118166,0.22941572544037503,0
10,2025/3/17,54.35,55.8,55.8,53.3,221496225,12151787776,4.64,3.62,1.95,1.08,0.0362116991643453,-0.036559066,1
11,2025/3/18,56.75,57.65,57.95,56.15,258147732,14768985344,3.23,3.32,1.85,1.25,0.0331541218637994,0.16547237768950684,0
12,2025/3/19,57,58.2,59.45,56.4,371387360,21553952256,5.29,0.95,0.55,1.8,0.009540329575021822,0.43866210685902907,0
13,2025/3/20,58,56.5,58.65,56.1,254323500,14569412864,4.38,-2.92,-1.7,1.23,-0.029209622,-0.315206904,0
14,2025/3/21,56.6,54.7,56.85,54.05,271392240,14935398400,4.96,-3.19,-1.8,1.32,-0.031858407,0.06711428554577137,-1
15,2025/3/24,55.25,57,57.1,54.9,206959960,11615297792,4.02,4.2,2.3,1,0.042047531992687404,-0.237413863,1
16,2025/3/25,53.85,53.4,55,53.25,1341045808,71795343360,3.07,-6.32,-3.6,6.51,-0.063157895,5.479735539183522,-1
17,2025/3/26,53.5,53.95,54.3,53.5,180066074,9711112704,1.5,1.03,0.55,0.87,0.010299625468164875,-0.865727127,1
18,2025/3/27,53.9,51.7,54.05,51.4,359693840,18798735104,4.91,-4.17,-2.25,1.75,-0.041705283,0.9975658490782666,-1
19,2025/3/28,51,51.05,52.15,49.6,369242640,18696960256,4.93,-1.26,-0.65,1.79,-0.012572534,0.026547021211150046,-1
20,2025/3/31,50.15,49.2,50.7,48.45,342788928,16923401984,4.41,-3.62,-1.85,1.6,-0.036238981,-0.071643167,0
21,2025/4/1,49.4,46.5,50,46.1,590405456,28080722688,7.93,-5.49,-2.7,2.76,-0.054878049,0.7223585937991557,-1
22,2025/4/2,46,44.55,47.5,44.4,635758240,28990681856,6.67,-4.19,-1.95,2.97,-0.041935484,0.07681633619591755,-1
23,2025/4/3,43.8,45.9,46.6,43.45,449295312,20290820096,7.07,3.03,1.35,2.1,0.030303030303030276,-0.293292192,1
24,2025/4/7,40.2,36.45,43.25,36.05,1037869824,40885489664,15.69,-20.59,-9.45,4.85,-0.205882353,1.3099947768874118,-1
25,2025/4/8,38.55,38.9,39.85,37.45,715006880,27621956608,6.58,6.72,2.45,3.34,0.06721536351165969,-0.311082312,1
26,2025/4/9,37.8,41.9,42.4,36.6,679302080,27428454144,14.91,7.71,3,3.17,0.07712082262210807,-0.049936303,1
27,2025/4/10,44.8,43.05,45,42.6,526260416,23013192192,5.73,2.74,1.15,2.46,0.027446300715990413,-0.2252925,1
28,2025/4/11,42.75,44.25,45.45,42.15,357167824,15727845120,7.67,2.79,1.2,1.67,0.027874564459930307,-0.32130973,1
29,2025/4/14,45.2,43.2,45.45,42.25,422983280,18493280768,7.23,-2.37,-1.05,1.98,-0.023728814,0.18427039497264452,-1
30,2025/4/15,43.75,43.1,43.85,42.05,164977321,7052942336,4.17,-0.23,-0.1,0.77,-0.002314815,-0.609967276,0
31,2025/4/16,42.5,41.25,42.95,40.2,315328928,12980783360,6.38,-4.29,-1.85,1.47,-0.042923434,0.91134712388741,-1
32,2025/4/17,41.25,41.95,42.25,40.5,190654146,7909289472,4.24,1.7,0.7,0.89,0.01696969696969708,-0.395380097,1
33,2025/4/22,42.45,44.4,44.7,42.2,280722544,12289591552,5.96,5.84,2.45,1.31,0.058402860548271596,0.4724177254451105,0
34,2025/4/23,46.75,47.45,47.95,45.7,365404800,17162736640,5.07,6.87,3.05,1.71,0.06869369369369371,0.3016581952890822,0
35,2025/4/24,48,48.2,48.7,46.95,238445758,11416258560,3.69,1.58,0.75,1.11,0.015806111696522684,-0.347447658,1
36,2025/4/25,48.55,47.7,48.65,47.05,166617135,7986897664,3.32,-1.04,-0.5,0.78,-0.010373444,-0.301236741,0
37,2025/4/28,48,47.5,48.35,47.2,90590615,4329519104,2.41,-0.42,-0.2,0.42,-0.004192872,-0.456294726,0
38,2025/4/29,47.95,47.45,47.95,47,101336853,4804800256,2,-0.11,-0.05,0.47,-0.001052632,0.11862418640164885,-1
39,2025/4/30,47.25,49.95,50,46.8,241882505,11882982912,6.74,5.27,2.5,1.13,0.052687038988408874,1.386915498550167,0
40,2025/5/2,50.5,53.1,53.1,50,140470309,7337175552,6.21,6.31,3.15,0.66,0.06306306306306309,-0.41926222,1
41,2025/5/6,53.1,51.75,53.15,51.4,143752715,7476946176,3.3,-2.54,-1.35,0.67,-0.025423729,0.023367258343540698,-1
