,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2025-01-02,151.7,150.6,154.3,148.4,28715165,4322192128.0,3.89,-0.73,-1.1,0.53
1,2025-01-03,151.3,153.7,155.7,148.8,30511065,4665644032.0,4.58,2.06,3.1,0.56
2,2025-01-06,153.8,150.7,153.8,148.4,27783624,4169062736.0,3.51,-1.95,-3.0,0.51
3,2025-01-07,150.7,148.7,152.8,145.8,30932550,4601184000.0,4.64,-1.33,-2.0,0.57
4,2025-01-08,148.9,146.7,149.1,143.9,25790556,3767426624.0,3.5,-1.34,-2.0,0.47
5,2025-01-09,145.9,144.4,146.8,142.5,26551311,3827119344.0,2.93,-1.57,-2.3,0.49
6,2025-01-10,146.1,140.1,146.4,139.0,30901748,4361305600.0,5.12,-2.98,-4.3,0.57
7,2025-01-13,139.0,137.4,139.0,133.5,37818018,5143929600.0,3.93,-1.93,-2.7,0.69
8,2025-01-14,138.8,144.3,146.7,138.1,58761811,8450457856.0,6.26,5.02,6.9,1.07
9,2025-01-15,143.3,144.5,146.0,141.2,29515844,4258124544.0,3.33,0.14,0.2,0.54
10,2025-01-16,146.7,147.6,150.5,144.5,37707184,5562490880.0,4.15,2.15,3.1,0.69
11,2025-01-17,148.2,147.8,149.1,145.0,20474850,3013558784.0,2.78,0.14,0.2,0.37
12,2025-01-20,151.0,155.5,158.8,150.6,62838210,9774754048.0,5.55,5.21,7.7,1.15
13,2025-01-21,159.7,158.5,160.4,155.0,41021524,6497399040.0,3.47,1.93,3.0,0.75
14,2025-01-22,157.5,152.5,157.5,151.3,39709233,6079426048.0,3.91,-3.79,-6.0,0.73
15,2025-01-23,153.7,151.1,155.7,150.0,25525543,3879430880.0,3.74,-0.92,-1.4,0.47
16,2025-01-24,153.3,150.0,153.7,149.0,39355209,5943655680.0,3.11,-0.73,-1.1,0.72
17,2025-01-27,151.8,149.7,155.3,149.3,37485511,5685904640.0,4.0,-0.2,-0.3,0.69
18,2025-01-28,151.8,148.2,152.4,146.8,16691789,2490598976.0,3.74,-1.0,-1.5,0.31
