,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
19,2025-02-03,148.2,142.3,148.2,140.0,42691211,6079819520.0,5.53,-3.98,-5.9,0.78
20,2025-02-04,144.9,150.8,151.9,144.2,52094377,7730114304.0,5.41,5.97,8.5,0.95
21,2025-02-05,154.0,150.9,154.2,146.8,48027206,7248641280.0,4.91,0.07,0.1,0.88
22,2025-02-06,152.8,150.1,152.9,146.8,35817495,5345501184.0,4.04,-0.53,-0.8,0.66
23,2025-02-07,148.0,154.1,155.8,146.0,49976855,7598158336.0,6.53,2.66,4.0,0.91
24,2025-02-10,155.0,162.7,163.3,154.5,65305089,10493577216.0,5.71,5.58,8.6,1.19
25,2025-02-11,166.2,161.8,167.6,161.3,56360376,9231266048.0,3.87,-0.55,-0.9,1.03
26,2025-02-12,162.6,155.2,162.7,150.2,114470084,17558341120.0,7.73,-4.08,-6.6,2.09
27,2025-02-13,155.2,159.7,167.5,155.2,94924956,15360136704.0,7.93,2.9,4.5,1.74
28,2025-02-14,162.0,169.9,170.0,161.9,75772482,12647316736.0,5.07,6.39,10.2,1.39
29,2025-02-17,174.2,168.9,179.3,166.1,85909353,14789129216.0,7.77,-0.59,-1.0,1.57
30,2025-02-18,170.2,172.9,177.0,167.0,66733331,11444481536.0,5.92,2.37,4.0,1.22
31,2025-02-19,169.6,167.7,171.8,166.0,46995938,7891005184.0,3.35,-3.01,-5.2,0.86
32,2025-02-20,158.0,156.9,160.2,156.1,90728227,14304964096.0,2.44,-6.44,-10.8,1.66
33,2025-02-21,158.8,162.9,163.2,155.3,85995656,13768266752.0,5.04,3.82,6.0,1.57
34,2025-02-24,164.7,166.5,168.9,160.0,62554358,10360492032.0,5.46,2.21,3.6,1.14
35,2025-02-25,160.0,158.6,163.3,157.2,52752020,8439533312.0,3.66,-4.74,-7.9,0.96
36,2025-02-26,161.1,174.2,177.0,160.0,100972406,17210522368.0,10.72,9.84,15.6,1.85
37,2025-02-27,175.1,172.8,176.0,167.8,62385994,10748875264.0,4.71,-0.8,-1.4,1.14
38,2025-02-28,169.8,162.0,170.5,160.3,64070709,10520064768.0,5.9,-6.25,-10.8,1.17
39,2025-03-03,162.8,162.6,166.1,160.8,36975379,6043577600.0,3.27,0.37,0.6,0.68
40,2025-03-04,158.9,161.2,163.1,158.0,23331992,3747599648.0,3.14,-0.86,-1.4,0.43
41,2025-03-05,165.1,171.5,172.7,163.5,48079120,8146225920.0,5.71,6.39,10.3,0.88
42,2025-03-06,174.7,180.3,181.5,174.2,68514831,12258828800.0,4.26,5.13,8.8,1.25
43,2025-03-07,180.3,183.5,189.6,177.0,75915127,13978005504.0,6.99,1.77,3.2,1.37
44,2025-03-10,183.5,174.9,184.0,173.0,50030702,8869019136.0,5.99,-4.69,-8.6,0.9
45,2025-03-11,170.0,171.6,173.3,167.7,47328733,8053843456.0,3.2,-1.89,-3.3,0.86
46,2025-03-12,174.2,168.3,175.6,165.1,39260107,6645979904.0,6.12,-1.92,-3.3,0.71
47,2025-03-13,168.3,164.5,168.9,161.4,38849089,6376260864.0,4.46,-2.26,-3.8,0.7
48,2025-03-14,168.4,173.4,175.5,165.4,44151948,7596574208.0,6.14,5.41,8.9,0.8
49,2025-03-17,177.8,175.1,178.9,174.2,37555448,6636558336.0,2.71,0.98,1.7,0.68
50,2025-03-18,181.5,177.3,181.8,174.7,41082229,7254489088.0,4.05,1.26,2.2,0.74
51,2025-03-19,176.6,175.9,176.6,172.4,38845173,6772195584.0,2.37,-0.79,-1.4,0.7
52,2025-03-20,175.9,168.1,175.9,167.7,44029819,7503060480.0,4.66,-4.43,-7.8,0.8
53,2025-03-21,168.9,167.6,172.4,165.6,49899045,8410185728.0,4.05,-0.3,-0.5,0.9
54,2025-03-24,163.0,165.7,166.2,158.8,61238376,9919147008.0,4.42,-1.13,-1.9,1.11
55,2025-03-25,162.9,158.5,163.0,158.1,43845502,6995163648.0,2.96,-4.35,-7.2,0.79
56,2025-03-26,159.0,159.9,161.2,156.7,26504416,4216989440.0,2.84,0.88,1.4,0.48
57,2025-03-27,162.2,162.8,165.8,159.6,25666765,4189296448.0,3.88,1.81,2.9,0.46
58,2025-03-28,163.1,160.1,165.5,159.0,23655795,3811133072.0,3.99,-1.66,-2.7,0.43
59,2025-03-31,156.2,155.8,160.1,154.1,35770136,5601821952.0,3.75,-2.69,-4.3,0.65
60,2025-04-01,157.7,157.9,160.3,156.9,22898803,3628239056.0,2.18,1.35,2.1,0.41
61,2025-04-02,157.0,157.8,160.3,155.5,18784941,2962780272.0,3.04,-0.06,-0.1,0.34
62,2025-04-03,152.4,157.9,160.8,152.4,32917192,5179460352.0,5.32,0.06,0.1,0.6
63,2025-04-07,145.1,134.3,148.9,132.7,98058866,13652926208.0,10.26,-14.95,-23.6,1.77
64,2025-04-08,135.8,140.6,144.5,135.8,80514588,11293581056.0,6.48,4.69,6.3,1.46
65,2025-04-09,135.0,146.4,149.4,133.3,70467850,10024524800.0,11.45,4.13,5.8,1.27
66,2025-04-10,148.3,145.4,152.3,144.0,72400269,10670537216.0,5.67,-0.68,-1.0,1.31
67,2025-04-11,144.9,143.5,146.2,141.0,51245697,7357395712.0,3.58,-1.31,-1.9,0.93
68,2025-04-14,146.6,145.9,147.1,143.1,33857822,4927203840.0,2.79,1.67,2.4,0.61
69,2025-04-15,146.5,146.8,147.3,143.9,24286799,3540742240.0,2.33,0.62,0.9,0.44
70,2025-04-16,143.1,134.9,144.5,133.5,78561767,10729263616.0,7.49,-8.11,-11.9,1.42
71,2025-04-17,133.2,136.5,136.5,129.6,56895776,7622679552.0,5.11,1.19,1.6,1.03
72,2025-04-22,131.1,130.2,131.5,125.6,110254462,14160794624.0,4.32,-4.62,-6.3,1.99
73,2025-04-23,133.0,133.9,134.7,130.7,54953599,7309573632.0,3.07,2.84,3.7,0.99
74,2025-04-24,132.0,127.0,132.6,125.8,75864030,9712800512.0,5.08,-5.15,-6.9,1.37
75,2025-04-25,125.6,127.6,130.7,125.6,56566102,7250730752.0,4.02,0.47,0.6,1.02
76,2025-04-28,127.6,128.4,129.8,125.0,55141223,7007747328.0,3.76,0.63,0.8,1.0
77,2025-04-29,129.5,132.1,134.8,128.2,55426571,7347111424.0,5.14,2.88,3.7,1.0
78,2025-04-30,132.1,130.3,134.6,128.3,47460144,6197149440.0,4.77,-1.36,-1.8,0.86
79,2025-05-02,129.6,132.5,133.1,128.8,28920212,3804511280.0,3.3,1.69,2.2,0.52
80,2025-05-06,133.2,137.6,138.4,131.2,39301443,5326999296.0,5.43,3.85,5.1,0.71
