Unnamed: 0,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,price_change,volume_change,divergence_signal
0,2025-01-02,417.0,416.0,425.0,413.6,20733037,8663880704.0,2.73,-0.24,-1.0,0.22,,,0
1,2025-01-03,418.0,414.2,419.0,410.4,16843241,6981756928.0,2.07,-0.43,-1.8,0.18,-0.0043269230769230616,-0.18761342103426526,0
2,2025-01-06,415.0,409.4,415.0,407.2,16869318,6913961984.0,1.88,-1.16,-4.8,0.18,-0.011588604538870118,0.001548217471922353,-1
3,2025-01-07,380.6,379.6,392.8,376.6,142920468,54765124608.0,3.96,-7.28,-29.8,1.55,-0.07278944797264275,7.472213755173742,-1
4,2025-01-08,371.2,369.2,379.8,365.6,95456188,35455056128.0,3.74,-2.74,-10.4,1.03,-0.027397260273972712,-0.3321027468227994,0
5,2025-01-09,365.0,373.4,379.4,365.0,60578450,22635953920.0,3.9,1.14,4.2,0.66,0.011375947995666325,-0.36537953935474565,1
6,2025-01-10,373.6,369.6,379.4,369.6,37053933,13862840320.0,2.62,-1.02,-3.8,0.4,-0.010176754151044354,-0.3883314445978727,0
7,2025-01-13,364.8,366.0,371.6,364.8,34785015,12807672320.0,1.84,-0.97,-3.6,0.38,-0.009740259740259827,-0.06123285212395668,0
8,2025-01-14,365.6,375.0,379.6,365.6,40623785,15194363136.0,3.83,2.46,9.0,0.44,0.024590163934426146,0.16785302521789913,0
9,2025-01-15,373.4,380.0,385.4,373.0,29158255,11078584832.0,3.31,1.33,5.0,0.32,0.01333333333333342,-0.28223687182275115,1
10,2025-01-16,384.0,382.4,386.6,376.6,26141103,9980555776.0,2.63,0.63,2.4,0.28,0.0063157894736840525,-0.10347505363403953,1
11,2025-01-17,381.0,379.8,382.2,378.4,17138321,6508060672.0,0.99,-0.68,-2.6,0.19,-0.0067991631799162455,-0.34439181850895884,0
12,2025-01-20,380.2,389.8,392.8,380.2,31141403,12097853952.0,3.32,2.63,10.0,0.34,0.026329647182727678,0.8170626515864652,0
13,2025-01-21,392.0,387.4,392.2,386.4,25249668,9804257280.0,1.49,-0.62,-2.4,0.27,-0.0061570035915855525,-0.18919298529998796,0
14,2025-01-22,385.0,383.4,388.6,381.0,17859069,6847451648.0,1.96,-1.03,-4.0,0.19,-0.01032524522457412,-0.29270083868033436,0
15,2025-01-23,383.0,381.2,386.0,379.6,21256810,8126061056.0,1.67,-0.57,-2.2,0.23,-0.005738132498695814,0.1902529745531527,-1
16,2025-01-24,383.2,390.6,392.4,382.2,24079119,9365231104.0,2.68,2.47,9.4,0.26,0.024658971668415575,0.13277199165820264,0
17,2025-01-27,388.0,395.6,398.0,388.0,23605938,9317465088.0,2.56,1.28,5.0,0.26,0.01280081925243226,-0.019651092716473584,1
18,2025-01-28,401.0,401.2,406.0,399.0,14203491,5712247808.0,1.77,1.42,5.6,0.15,0.01415571284125372,-0.3983085527039849,1
19,2025-02-03,400.0,404.2,404.8,394.2,27917841,11162153216.0,2.64,0.75,3.0,0.3,0.007477567298105781,0.9655619171371319,0
20,2025-02-04,409.2,420.8,421.2,407.0,31276268,13026602752.0,3.51,4.11,16.6,0.34,0.04106877783275609,0.1202968023207811,0
21,2025-02-05,421.6,417.8,421.6,410.0,32129392,13372038912.0,2.76,-0.71,-3.0,0.35,-0.0071292775665399155,0.027277039575182016,-1
22,2025-02-06,416.2,420.4,420.4,413.4,19585105,8177045248.0,1.68,0.62,2.6,0.21,0.006223073240785082,-0.3904302639776065,1
23,2025-02-07,420.4,428.2,432.4,417.8,34567530,14741790976.0,3.47,1.86,7.8,0.38,0.018553758325404512,0.7649907927478561,0
24,2025-02-10,429.6,437.0,439.8,428.8,31411302,13701174528.0,2.57,2.06,8.8,0.34,0.02055114432508187,-0.09130614770566481,1
25,2025-02-11,440.0,427.4,441.2,425.6,30893563,13324637696.0,3.57,-2.2,-9.6,0.34,-0.021967963386727796,-0.016482570509175343,0
26,2025-02-12,429.0,444.2,444.6,426.0,38264929,16740640512.0,4.35,3.93,16.8,0.42,0.03930744033692091,0.23860523954456148,0
27,2025-02-13,449.0,442.0,464.6,437.0,60985718,27423907072.0,6.21,-0.5,-2.2,0.66,-0.004952723998199016,0.5937758044709818,-1
