Unnamed: 0,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,price_change,volume_change,divergence_signal
0,2025-03-03,5.71,5.51,5.78,5.45,23099025,129036551.0,5.87,-1.96,-0.11,0.25,,,0
1,2025-03-04,5.51,5.58,5.62,5.42,15118170,83985617.0,3.63,1.27,0.07,0.17,0.012704174228675091,-0.3455061414929851,1
2,2025-03-05,5.58,5.69,5.73,5.57,20917448,118386466.0,2.87,1.97,0.11,0.23,0.01971326164874565,0.38359655963651695,0
3,2025-03-06,5.75,5.73,5.75,5.64,20966533,119219387.0,1.93,0.7,0.04,0.23,0.007029876977152849,0.0023466055706222733,0
4,2025-03-07,5.73,5.83,6.0,5.6,53599812,311838880.0,6.98,1.75,0.1,0.59,0.017452006980802626,1.5564461229713085,0
5,2025-03-10,5.85,5.74,5.91,5.6,21240082,121757743.0,5.32,-1.54,-0.09,0.23,-0.015437392795883298,-0.6037284235250676,0
6,2025-03-11,5.65,5.95,5.95,5.61,25618714,148976134.0,5.92,3.66,0.21,0.28,0.03658536585365857,0.2061494866168596,0
7,2025-03-12,6.0,5.85,6.04,5.79,36849310,217721695.0,4.2,-1.68,-0.1,0.41,-0.01680672268907568,0.43837469749652547,-1
8,2025-03-13,5.93,5.93,5.96,5.8,24780279,145781277.0,2.74,1.37,0.08,0.27,0.013675213675213627,-0.3275239346408386,1
9,2025-03-14,6.2,6.86,6.99,6.15,257452006,1722440000.0,14.17,15.68,0.93,2.84,0.15682967959527838,9.389390934621842,0
10,2025-03-17,7.09,6.99,7.38,6.76,170940120,1204757104.0,9.04,1.9,0.13,1.89,0.01895043731778423,-0.33603112030131166,1
11,2025-03-18,7.06,6.71,7.1,6.6,104002148,702552928.0,7.15,-4.01,-0.28,1.15,-0.0400572246065809,-0.39158725289300134,0
12,2025-03-19,6.71,6.64,6.84,6.57,39720526,264815347.0,4.02,-1.04,-0.07,0.44,-0.010432190760059634,-0.6180797535066295,0
13,2025-03-20,6.61,6.4,6.61,6.34,42839404,276124528.0,4.07,-3.61,-0.24,0.47,-0.036144578313252906,0.07852056138430785,-1
14,2025-03-21,6.37,6.41,6.5,6.25,38308323,243509531.0,3.91,0.16,0.01,0.42,0.0015624999999999112,-0.10576900182831672,1
15,2025-03-24,6.44,6.5,6.53,6.35,35054369,226904208.0,2.81,1.4,0.09,0.39,0.014040561622464809,-0.08494117583795036,1
16,2025-03-25,6.5,6.46,6.61,6.35,38567019,249640717.0,4.0,-0.62,-0.04,0.43,-0.006153846153846176,0.10020576892997268,-1
17,2025-03-26,6.46,6.5,6.69,6.37,46952398,305006144.0,4.95,0.62,0.04,0.52,0.006191950464396356,0.21742357116063338,0
18,2025-03-27,6.53,6.6,6.68,6.46,25721116,169509063.0,3.38,1.54,0.1,0.28,0.01538461538461533,-0.45218738348571674,1
19,2025-03-28,6.64,6.59,6.64,6.43,26542185,172976910.0,3.18,-0.15,-0.01,0.29,-0.0015151515151514694,0.03192198192333495,-1
20,2025-03-31,6.37,5.87,6.37,5.81,85815437,511862240.0,8.5,-10.93,-0.72,0.95,-0.10925644916540211,2.2331715342953116,-1
21,2025-04-01,5.9,5.9,6.03,5.79,39232000,231122313.0,4.09,0.51,0.03,0.43,0.005110732538330609,-0.5428328355421648,1
22,2025-04-02,5.91,5.76,5.92,5.71,31866530,184321668.0,3.56,-2.37,-0.14,0.35,-0.023728813559322104,-0.18774138458401302,0
23,2025-04-03,5.69,5.8,5.84,5.65,25445284,146342527.0,3.3,0.69,0.04,0.28,0.00694444444444442,-0.201504399757363,1
24,2025-04-07,5.35,5.33,5.64,5.28,57722474,314291616.0,6.21,-8.1,-0.47,0.64,-0.08103448275862069,1.2684939967657662,-1
25,2025-04-08,5.54,5.8,5.84,5.43,80166270,459148880.0,7.69,8.82,0.47,0.88,0.08818011257035652,0.388822488793533,0
26,2025-04-09,5.7,6.44,6.48,5.62,118541605,733137424.0,14.83,11.03,0.64,1.31,0.1103448275862069,0.4786967760879981,0
27,2025-04-10,6.44,6.43,6.78,6.17,143207126,928819008.0,9.47,-0.16,-0.01,1.58,-0.0015527950310559868,0.20807480209163698,-1
28,2025-04-11,6.42,6.18,6.58,6.15,72043789,452956880.0,6.69,-3.89,-0.25,0.79,-0.038880248833592534,-0.4969259490620599,0
29,2025-04-14,6.27,6.29,6.37,6.11,53675465,334746848.0,4.21,1.78,0.11,0.59,0.017799352750809128,-0.25496054906273735,1
30,2025-04-15,6.37,6.38,6.53,6.32,43025922,276366368.0,3.34,1.43,0.09,0.47,0.014308426073131875,-0.19840616192146632,1
31,2025-04-16,6.33,6.2,6.35,6.08,30909666,191219422.0,4.23,-2.82,-0.18,0.34,-0.028213166144200552,-0.2816036341998668,0
32,2025-04-17,6.2,6.2,6.3,6.16,22244822,138786807.0,2.26,0.0,0.0,0.25,0.0,-0.2803279724860178,0
33,2025-04-22,6.2,6.28,6.29,6.09,28674773,177343765.0,3.23,1.29,0.08,0.32,0.012903225806451646,0.2890538301452805,0
34,2025-04-23,6.3,6.35,6.44,6.28,29910500,189608654.0,2.55,1.11,0.07,0.33,0.011146496815286566,0.043094569571658026,0
35,2025-04-24,6.29,6.27,6.33,6.15,24054809,150219245.0,2.83,-1.26,-0.08,0.27,-0.012598425196850394,-0.19577375837916455,0
36,2025-04-25,6.27,6.26,6.38,6.15,42973784,268776160.0,3.67,-0.16,-0.01,0.47,-0.0015948963317383713,0.7864945009540505,-1
37,2025-04-28,6.26,5.91,6.26,5.89,47349711,282921888.0,5.91,-5.59,-0.35,0.52,-0.05591054313099031,0.10182782600666496,-1
38,2025-04-29,5.94,5.94,5.97,5.87,20069300,118720531.0,1.69,0.51,0.03,0.22,0.005076142131979822,-0.5761473602235925,1
39,2025-04-30,5.95,5.88,5.99,5.81,29892965,175476136.0,3.03,-1.01,-0.06,0.33,-0.010101010101010166,0.4894871769319309,-1
40,2025-05-02,5.86,5.85,5.99,5.8,12606821,74073847.0,3.23,-0.51,-0.03,0.14,-0.005102040816326592,-0.5782679637165467,0
41,2025-05-06,5.9,5.91,5.95,5.82,20994172,123747177.0,2.22,1.03,0.06,0.23,0.010256410256410442,0.6653026167342266,0
