Unnamed: 0,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,price_change,volume_change,divergence_signal
0,2025-01-02,151.7,150.6,154.3,148.4,28715165,4322192128.0,3.89,-0.73,-1.1,0.53,,,0
1,2025-01-03,151.3,153.7,155.7,148.8,30511065,4665644032.0,4.58,2.06,3.1,0.56,0.02058432934926957,0.06254186594435374,0
2,2025-01-06,153.8,150.7,153.8,148.4,27783624,4169062736.0,3.51,-1.95,-3.0,0.51,-0.01951854261548469,-0.08939186488573903,0
3,2025-01-07,150.7,148.7,152.8,145.8,30932550,4601184000.0,4.64,-1.33,-2.0,0.57,-0.013271400132713995,0.11333748254007459,-1
4,2025-01-08,148.9,146.7,149.1,143.9,25790556,3767426624.0,3.5,-1.34,-2.0,0.47,-0.01344989912575656,-0.16623246386088442,0
5,2025-01-09,145.9,144.4,146.8,142.5,26551311,3827119344.0,2.93,-1.57,-2.3,0.49,-0.015678254942058545,0.02949742533662314,-1
6,2025-01-10,146.1,140.1,146.4,139.0,30901748,4361305600.0,5.12,-2.98,-4.3,0.57,-0.02977839335180066,0.16385017673891888,-1
7,2025-01-13,139.0,137.4,139.0,133.5,37818018,5143929600.0,3.93,-1.93,-2.7,0.69,-0.01927194860813697,0.223814846978883,-1
8,2025-01-14,138.8,144.3,146.7,138.1,58761811,8450457856.0,6.26,5.02,6.9,1.07,0.05021834061135366,0.5538046176825027,0
9,2025-01-15,143.3,144.5,146.0,141.2,29515844,4258124544.0,3.33,0.14,0.2,0.54,0.001386001386001201,-0.49770363612516977,1
10,2025-01-16,146.7,147.6,150.5,144.5,37707184,5562490880.0,4.15,2.15,3.1,0.69,0.02145328719723172,0.27752348874048804,0
11,2025-01-17,148.2,147.8,149.1,145.0,20474850,3013558784.0,2.78,0.14,0.2,0.37,0.0013550135501356753,-0.4570040022081734,1
12,2025-01-20,151.0,155.5,158.8,150.6,62838210,9774754048.0,5.55,5.21,7.7,1.15,0.05209742895805136,2.0690437292580897,0
13,2025-01-21,159.7,158.5,160.4,155.0,41021524,6497399040.0,3.47,1.93,3.0,0.75,0.019292604501607746,-0.34718821557775115,1
14,2025-01-22,157.5,152.5,157.5,151.3,39709233,6079426048.0,3.91,-3.79,-6.0,0.73,-0.03785488958990535,-0.031990303431925105,0
15,2025-01-23,153.7,151.1,155.7,150.0,25525543,3879430880.0,3.74,-0.92,-1.4,0.47,-0.009180327868852478,-0.3571887172940359,0
16,2025-01-24,153.3,150.0,153.7,149.0,39355209,5943655680.0,3.11,-0.73,-1.1,0.72,-0.007279947054930513,0.541797132386175,-1
17,2025-01-27,151.8,149.7,155.3,149.3,37485511,5685904640.0,4.0,-0.2,-0.3,0.69,-0.002000000000000113,-0.04750827266601476,0
18,2025-01-28,151.8,148.2,152.4,146.8,16691789,2490598976.0,3.74,-1.0,-1.5,0.31,-0.01002004008016033,-0.5547135798682323,0
19,2025-02-03,148.2,142.3,148.2,140.0,42691211,6079819520.0,5.53,-3.98,-5.9,0.78,-0.03981106612685548,1.5576174608964921,-1
20,2025-02-04,144.9,150.8,151.9,144.2,52094377,7730114304.0,5.41,5.97,8.5,0.95,0.0597329585382993,0.22025999684103592,0
21,2025-02-05,154.0,150.9,154.2,146.8,48027206,7248641280.0,4.91,0.07,0.1,0.88,0.0006631299734747298,-0.07807312869870775,1
22,2025-02-06,152.8,150.1,152.9,146.8,35817495,5345501184.0,4.04,-0.53,-0.8,0.66,-0.005301524188204176,-0.2542248866194715,0
23,2025-02-07,148.0,154.1,155.8,146.0,49976855,7598158336.0,6.53,2.66,4.0,0.91,0.02664890073284476,0.3953196615229513,0
24,2025-02-10,155.0,162.7,163.3,154.5,65305089,10493577216.0,5.71,5.58,8.6,1.19,0.05580791693705378,0.30670665451037293,0
25,2025-02-11,166.2,161.8,167.6,161.3,56360376,9231266048.0,3.87,-0.55,-0.9,1.03,-0.005531653349723276,-0.1369680852896472,0
26,2025-02-12,162.6,155.2,162.7,150.2,114470084,17558341120.0,7.73,-4.08,-6.6,2.09,-0.040791100123609536,1.031038330901128,-1
27,2025-02-13,155.2,159.7,167.5,155.2,94924956,15360136704.0,7.93,2.9,4.5,1.74,0.02899484536082464,-0.17074441912700966,1
28,2025-02-14,162.0,169.9,170.0,161.9,75772482,12647316736.0,5.07,6.39,10.2,1.39,0.0638697557921104,-0.20176437058343222,1
29,2025-02-17,174.2,168.9,179.3,166.1,85909353,14789129216.0,7.77,-0.59,-1.0,1.57,-0.005885815185403209,0.13378037425248923,-1
30,2025-02-18,170.2,172.9,177.0,167.0,66733331,11444481536.0,5.92,2.37,4.0,1.22,0.023682652457075237,-0.22321227352276762,1
31,2025-02-19,169.6,167.7,171.8,166.0,46995938,7891005184.0,3.35,-3.01,-5.2,0.86,-0.03007518796992492,-0.2957651402115683,0
32,2025-02-20,158.0,156.9,160.2,156.1,90728227,14304964096.0,2.44,-6.44,-10.8,1.66,-0.06440071556350613,0.9305546577238228,-1
33,2025-02-21,158.8,162.9,163.2,155.3,85995656,13768266752.0,5.04,3.82,6.0,1.57,0.03824091778202687,-0.05216205757002168,1
34,2025-02-24,164.7,166.5,168.9,160.0,62554358,10360492032.0,5.46,2.21,3.6,1.14,0.022099447513812098,-0.2725870013713251,1
35,2025-02-25,160.0,158.6,163.3,157.2,52752020,8439533312.0,3.66,-4.74,-7.9,0.96,-0.047447447447447444,-0.15670112064774133,0
36,2025-02-26,161.1,174.2,177.0,160.0,100972406,17210522368.0,10.72,9.84,15.6,1.85,0.0983606557377048,0.9140955360571974,0
37,2025-02-27,175.1,172.8,176.0,167.8,62385994,10748875264.0,4.71,-0.8,-1.4,1.14,-0.008036739380022806,-0.38214808905316167,0
38,2025-02-28,169.8,162.0,170.5,160.3,64070709,10520064768.0,5.9,-6.25,-10.8,1.17,-0.06250000000000011,0.02700469916372583,-1
39,2025-03-03,162.8,162.6,166.1,160.8,36975379,6043577600.0,3.27,0.37,0.6,0.68,0.0037037037037037646,-0.42289730241630386,1
40,2025-03-04,158.9,161.2,163.1,158.0,23331992,3747599648.0,3.14,-0.86,-1.4,0.43,-0.008610086100861003,-0.36898572425721454,0
41,2025-03-05,165.1,171.5,172.7,163.5,48079120,8146225920.0,5.71,6.39,10.3,0.88,0.06389578163771725,1.0606521723477362,0
42,2025-03-06,174.7,180.3,181.5,174.2,68514831,12258828800.0,4.26,5.13,8.8,1.25,0.051311953352769724,0.42504336601834636,0
43,2025-03-07,180.3,183.5,189.6,177.0,75915127,13978005504.0,6.99,1.77,3.2,1.37,0.0177481974486966,0.10801013287181571,0
44,2025-03-10,183.5,174.9,184.0,173.0,50030702,8869019136.0,5.99,-4.69,-8.6,0.9,-0.04686648501362389,-0.3409653124864034,0
45,2025-03-11,170.0,171.6,173.3,167.7,47328733,8053843456.0,3.2,-1.89,-3.3,0.86,-0.018867924528301994,-0.05400621802188588,0
46,2025-03-12,174.2,168.3,175.6,165.1,39260107,6645979904.0,6.12,-1.92,-3.3,0.71,-0.019230769230769162,-0.17048049860113512,0
47,2025-03-13,168.3,164.5,168.9,161.4,38849089,6376260864.0,4.46,-2.26,-3.8,0.7,-0.022578728461081443,-0.010469100351662264,0
48,2025-03-14,168.4,173.4,175.5,165.4,44151948,7596574208.0,6.14,5.41,8.9,0.8,0.05410334346504553,0.13649892794139906,0
