,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2025-01-02,417.0,416.0,425.0,413.6,20733037,8663880704.0,2.73,-0.24,-1.0,0.22
1,2025-01-03,418.0,414.2,419.0,410.4,16843241,6981756928.0,2.07,-0.43,-1.8,0.18
2,2025-01-06,415.0,409.4,415.0,407.2,16869318,6913961984.0,1.88,-1.16,-4.8,0.18
3,2025-01-07,380.6,379.6,392.8,376.6,142920468,54765124608.0,3.96,-7.28,-29.8,1.55
4,2025-01-08,371.2,369.2,379.8,365.6,95456188,35455056128.0,3.74,-2.74,-10.4,1.03
5,2025-01-09,365.0,373.4,379.4,365.0,60578450,22635953920.0,3.9,1.14,4.2,0.66
6,2025-01-10,373.6,369.6,379.4,369.6,37053933,13862840320.0,2.62,-1.02,-3.8,0.4
7,2025-01-13,364.8,366.0,371.6,364.8,34785015,12807672320.0,1.84,-0.97,-3.6,0.38
8,2025-01-14,365.6,375.0,379.6,365.6,40623785,15194363136.0,3.83,2.46,9.0,0.44
9,2025-01-15,373.4,380.0,385.4,373.0,29158255,11078584832.0,3.31,1.33,5.0,0.32
10,2025-01-16,384.0,382.4,386.6,376.6,26141103,9980555776.0,2.63,0.63,2.4,0.28
11,2025-01-17,381.0,379.8,382.2,378.4,17138321,6508060672.0,0.99,-0.68,-2.6,0.19
12,2025-01-20,380.2,389.8,392.8,380.2,31141403,12097853952.0,3.32,2.63,10.0,0.34
13,2025-01-21,392.0,387.4,392.2,386.4,25249668,9804257280.0,1.49,-0.62,-2.4,0.27
14,2025-01-22,385.0,383.4,388.6,381.0,17859069,6847451648.0,1.96,-1.03,-4.0,0.19
15,2025-01-23,383.0,381.2,386.0,379.6,21256810,8126061056.0,1.67,-0.57,-2.2,0.23
16,2025-01-24,383.2,390.6,392.4,382.2,24079119,9365231104.0,2.68,2.47,9.4,0.26
17,2025-01-27,388.0,395.6,398.0,388.0,23605938,9317465088.0,2.56,1.28,5.0,0.26
18,2025-01-28,401.0,401.2,406.0,399.0,14203491,5712247808.0,1.77,1.42,5.6,0.15
19,2025-02-03,400.0,404.2,404.8,394.2,27917841,11162153216.0,2.64,0.75,3.0,0.3
